Auxiliary Dataset D1.  Modeled motions for the hotspots listed in Table S6.
---------------------------------------------
Hotspot   Age      Lat        Lon
---------------------------------------------           
Azores   0.0000   38.5168   -28.3644
Azores   3.4000   38.5890   -28.3279
Azores   6.8000   38.6583   -28.2697
Azores   10.2000   38.6994   -28.2553
Azores   13.8000   38.7875   -28.2927
Azores   17.6000   38.9170   -28.3065
Azores   20.2000   39.0374   -28.3378
Azores   21.4000   39.1479   -28.3545
Azores   25.6000   39.3127   -28.3035
Azores   29.8000   39.4722   -28.2705
Azores   32.8000   39.6459   -28.2284
Azores   34.0000   39.7478   -28.2134
Azores   36.2000   39.9107   -28.2060
Azores   37.4000   40.0087   -28.2361
Azores   38.6000   40.1098   -28.3016
Azores   39.6000   40.2028   -28.4177
Azores   40.6000   40.2570   -28.5412
Azores   42.0000   40.3591   -28.6076
Azores   43.2000   40.4645   -28.6090
Azores   44.6000   40.6013   -28.6136
Azores   45.6000   40.7012   -28.5980
Azores   46.6000   40.8068   -28.5761
Azores   47.4000   40.9181   -28.5838
Azores   48.0000   41.0228   -28.6089
Azores   49.0000   41.1349   -28.5452
Azores   49.4000   41.2343   -28.5724
Azores   50.2000   41.3326   -28.5012
Azores   50.8000   41.4377   -28.4680
Azores   52.2000   41.5370   -28.4234
Azores   53.4000   41.6454   -28.4359
Azores   55.6000   41.7333   -28.3630
Azores   57.8000   41.8406   -28.3333
Azores   59.2000   41.9440   -28.3736
Azores   61.2000   42.0498   -28.3996
Azores   62.8000   42.1435   -28.3123
Azores   64.2000   42.2411   -28.2559
Azores   65.6000   42.3419   -28.2070
Azores   68.4000   42.5258   -28.1004
Azores   70.0000   42.6107   -28.0212
Azores   71.6000   42.7145   -27.9620
Azores   73.2000   42.8010   -27.8891
Azores   74.4000   42.9028   -27.8828
Azores   76.2000   42.9592   -27.7538
Azores   77.6000   43.0610   -27.7279
Azores   79.4000   43.1263   -27.6223
Azores   80.8000   43.2296   -27.6055
Azores   82.8000   43.2732   -27.4661
Azores   85.4000   43.4065   -27.3991
Azores   87.8000   43.4592   -27.2641
Azores   90.4000   43.5084   -27.1360
Azores   92.2000   43.4953   -27.0475
Azores   93.8000   43.4176   -26.9266
Azores   95.2000   43.3060   -26.7541
Azores   96.4000   43.1952   -26.5624
Azores   97.4000   43.0720   -26.3392
Azores   98.0000   42.9850   -26.1776
Azores   98.4000   42.9211   -26.0607
Azores   98.8000   42.8584   -25.9333
Azores   99.2000   42.7863   -25.8130
Azores   99.8000   42.6760   -25.6365
Azores   100.0000   42.6364   -25.5811
Balleny   0.0000   -66.8028   163.4874
Balleny   0.6000   -66.7745   163.2913
Balleny   1.2000   -66.7292   163.0321
Balleny   1.8000   -66.6831   162.7832
Balleny   2.2000   -66.6309   162.5596
Balleny   3.2000   -66.5816   162.2855
Balleny   3.8000   -66.5258   162.0385
Balleny   4.4000   -66.4657   161.7993
Balleny   5.2000   -66.4139   161.5726
Balleny   5.8000   -66.3587   161.3594
Balleny   6.6000   -66.2763   161.0691
Balleny   7.4000   -66.2152   160.8396
Balleny   8.2000   -66.1511   160.6157
Balleny   8.8000   -66.0854   160.4211
Balleny   9.4000   -66.0119   160.2206
Balleny   10.6000   -65.9217   159.9922
Balleny   12.0000   -65.8340   159.8717
Balleny   13.2000   -65.7357   159.8150
Balleny   15.0000   -65.6059   159.8643
Balleny   16.2000   -65.4897   159.8772
Balleny   17.0000   -65.3775   159.8626
Balleny   18.4000   -65.2317   159.9161
Balleny   19.0000   -65.1197   159.9050
Balleny   19.4000   -65.0168   159.8683
Balleny   20.0000   -64.8971   159.8554
Balleny   20.4000   -64.7883   159.8369
Balleny   21.6000   -64.6535   159.9868
Balleny   21.8000   -64.5484   159.9710
Balleny   22.8000   -64.5364   160.2120
Balleny   23.4000   -64.4147   160.3029
Balleny   24.2000   -64.4205   160.5392
Balleny   25.2000   -64.3416   160.8030
Balleny   25.8000   -64.2311   160.9520
Balleny   26.4000   -64.2655   161.1993
Balleny   27.0000   -64.1548   161.4394
Balleny   27.6000   -64.1455   161.7379
Balleny   28.0000   -64.1049   161.9571
Balleny   28.4000   -64.0647   162.1940
Balleny   28.8000   -64.0402   162.4454
Balleny   29.2000   -64.0158   162.7156
Balleny   29.6000   -64.0629   162.9759
Balleny   30.0000   -64.0388   163.2774
Balleny   30.2000   -63.9775   163.4594
Balleny   30.6000   -64.0254   163.7469
Balleny   30.8000   -63.9647   163.9476
Balleny   31.2000   -63.9268   164.2876
Balleny   31.6000   -63.9351   164.5755
Balleny   31.8000   -63.8581   164.7917
Balleny   32.2000   -63.8330   165.1226
Balleny   32.4000   -63.7572   165.3542
Balleny   32.8000   -63.7304   165.6957
Balleny   33.2000   -63.7109   166.0343
Balleny   33.8000   -63.6778   166.5594
Balleny   34.2000   -63.6783   166.8921
Balleny   34.6000   -63.6720   167.2428
Balleny   35.0000   -63.6930   167.5553
Balleny   35.4000   -63.7390   167.8298
Balleny   35.8000   -63.8105   168.0681
Balleny   36.0000   -63.8559   168.1737
Bowie   0.0000   52.9878   -134.9758
Bowie   1.4000   53.0281   -135.1021
Bowie   2.6000   53.0792   -135.2769
Bowie   4.2000   53.1020   -135.4503
Bowie   5.4000   53.1055   -135.6209
Bowie   6.6000   53.1038   -135.7943
Bowie   7.6000   53.1036   -135.9708
Bowie   8.4000   53.1019   -136.1390
Bowie   9.8000   53.0644   -136.3870
Bowie   10.4000   53.0687   -136.5781
Bowie   11.6000   53.0231   -136.7285
Bowie   13.4000   52.9654   -136.8710
Bowie   14.8000   52.9067   -137.0182
Bowie   17.4000   52.7374   -137.1916
Bowie   18.2000   52.6542   -137.0694
Bowie   20.4000   52.5085   -136.9754
Bowie   21.6000   52.4201   -136.8922
Bowie   22.4000   52.3193   -136.8592
Bowie   23.4000   52.1920   -136.8882
Bowie   24.0000   52.0889   -136.8299
Bowie   24.8000   51.9546   -136.8494
Bowie   25.4000   51.8340   -136.7991
Bowie   26.0000   51.7051   -136.7227
Bowie   26.6000   51.5719   -136.6819
Bowie   27.0000   51.4783   -136.5954
Bowie   27.4000   51.3821   -136.5358
Bowie   27.8000   51.2826   -136.4669
Bowie   28.4000   51.1287   -136.3443
Bowie   28.8000   51.0286   -136.2407
Bowie   29.4000   50.8819   -136.0632
Bowie   29.8000   50.7851   -135.9393
Bowie   30.0000   50.7376   -135.8707
Cameroon   0.0000   4.1962   9.2636
Cameroon   0.6000   4.1294   9.2462
Cameroon   1.6000   4.0254   9.2323
Cameroon   2.6000   3.9216   9.2156
Cameroon   3.6000   3.8175   9.1955
Cameroon   4.6000   3.7131   9.1732
Cameroon   5.6000   3.6084   9.1482
Cameroon   7.0000   3.4591   9.1061
Cameroon   8.0000   3.3578   9.0868
Cameroon   9.2000   3.2351   9.0634
Cameroon   10.4000   3.1122   9.0406
Cameroon   11.6000   3.0042   9.0073
Cameroon   13.4000   2.9141   8.9514
Cameroon   17.0000   2.8293   8.9189
Cameroon   19.8000   2.7701   8.8189
Cameroon   22.0000   2.6986   8.7414
Cameroon   23.8000   2.5772   8.6931
Cameroon   25.6000   2.4252   8.6444
Cameroon   27.0000   2.2843   8.5976
Cameroon   28.4000   2.1040   8.5010
Cameroon   29.0000   2.0133   8.4368
Cameroon   29.6000   1.9259   8.3838
