PA	HS	Motion of PA relative to HS
lat	lon	rot	rot_rate	start_age	stop_age	s1start_age	s1stop_age	vxx	vyy	vzz	vxy	vxz	vyz	source
72.9	-46.6	5.27	1.0539999999999998	0.0	5.0	0.0	0.0	0.0007118607000000003	0.0003896659	0.0003492748	0.00030846170000000013	0.0001802504	0.00012706649999999996	
71.96	-51.51	9.8	0.9800000000000001	0.0	10.0	0.0	0.0	0.0006380616999999999	0.0003593082	0.000336367	0.0002565603	0.00015754079999999996	0.00010705520000000001	
74.24	-52.09	13.64	0.9093333333333333	0.0	15.0	0.0	0.0	0.0007012938999999998	0.00044973960000000004	0.0004995665	0.00023337460000000007	7.306905000000002e-05	8.066631000000001e-05	
73.0	-56.21	17.33	0.8664999999999999	0.0	20.0	0.0	0.0	0.0006927953999999999	0.00044867379999999986	0.0004988651	0.0002306403	7.050401000000002e-05	7.757728999999997e-05	
72.03	-58.68	20.74	0.8295999999999999	0.0	25.0	0.0	0.0	0.0007000694000000001	0.0004506205	0.0004999100000000001	0.00023356110000000003	7.340328e-05	8.161323999999996e-05	
70.75	-60.31	23.96	0.7986666666666667	0.0	30.0	0.0	0.0	0.0007021112000000002	0.0004502787000000001	0.0004982101000000002	0.00023453360000000003	7.104875000000003e-05	7.820830000000006e-05	
69.56	-61.19	26.97	0.7705714285714286	0.0	35.0	0.0	0.0	0.0006979582999999999	0.0004513778	0.000493679	0.0002348811	7.621967000000002e-05	7.917906999999999e-05	
68.47	-61.6	29.87	0.74675	0.0	40.0	0.0	0.0	0.0007068157999999998	0.00045436780000000006	0.000492158	0.00023956059999999998	7.540338999999997e-05	7.990472e-05	
67.3	-61.47	32.63	0.7251111111111112	0.0	45.0	0.0	0.0	0.0007129059000000002	0.0004561006	0.0004947225	0.0002421995000000001	8.040648e-05	8.458728999999995e-05	
64.37	-65.28	35.12	0.7023999999999999	0.0	50.0	0.0	0.0	0.0006457839	0.0003602282000000001	0.0003379904	0.0002595604	0.0001610739	0.00010876540000000003	
61.19	-69.44	36.7	0.6672727272727274	0.0	55.0	0.0	0.0	0.0006375089000000003	0.0003600666000000001	0.00033616140000000005	0.00025695450000000006	0.00015716770000000002	0.0001073532	
58.23	-72.23	38.48	0.6413333333333333	0.0	60.0	0.0	0.0	0.0006323509999999996	0.0003540666	0.00033711460000000005	0.0002504265999999999	0.00015718399999999996	0.00010586170000000004	
55.48	-73.91	40.47	0.6226153846153846	0.0	65.0	0.0	0.0	0.0006138932999999998	0.0003527218	0.00033669050000000007	0.00024405699999999992	0.00015277289999999998	0.0001042318	
53.1	-75.08	42.57	0.6081428571428571	0.0	70.0	0.0	0.0	0.0006109054999999998	0.0003493291999999999	0.0003388062999999998	0.0002399988999999999	0.00014664889999999988	0.00010135739999999996	
50.95	-76.01	44.77	0.5969333333333334	0.0	75.0	0.0	0.0	0.0005949835999999998	0.00034469329999999997	0.00034532119999999996	0.00023054509999999992	0.00014252449999999995	0.00010215759999999999	
49.08	-76.13	47.12	0.589	0.0	80.0	0.0	0.0	0.0005921796000000003	0.0003401763000000001	0.00033698490000000006	0.00022677810000000005	0.0001404858	9.673274e-05	
