PA,HS,PA-HS motions for the last 67.7 Ma from Koivisto 2014,,,,,,,,,,,,
lat,lon,rot,rot_rate,start_age,stop_age,s1start_age,s1stop_age,vxx,vyy,vzz,vxy,vxz,vyz,source
49.3,-49.5,1.02,1.308,0,0.78,0,0,0,0,0,0,0,0,Wessel and Kronke 2008
53.7,-56.9,2.58,1.000,0,2.58,0,0,0,0,0,0,0,0,Wessel and Kronke 2008
59.7,-66.1,5.39,0.915,0,5.89,0,0,0,0,0,0,0,0,Wessel and Kronke 2008
62.9,-70.9,8.23,0.929,0,8.86,0,0,0,0,0,0,0,0,Wessel and Kronke 2008
65.4,-68.7,10.3,0.838,0,12.29,0,0,0,0,0,0,0,0,Wessel and Kronke 2008
68.3,-61.5,15.5,0.887,0,17.47,0,0,0,0,0,0,0,0,Wessel and Kronke 2008
68.8,-69.8,20.4,0.848,0,24.06,0,0,0,0,0,0,0,0,Wessel and Kronke 2008
67.7,-70.8,23.6,0.835,0,28.28,0,0,0,0,0,0,0,0,Wessel and Kronke 2008
66.6,-68.7,27.7,0.826,0,33.54,0,0,0,0,0,0,0,0,Wessel and Kronke 2008
65.4,-64.3,31.6,0.788,0,40.1,0,0,0,0,0,0,0,0,Wessel and Kronke 2008
63.0,-66.7,34.6,0.722,0,47.91,0,0,0,0,0,0,0,0,Wessel and Kronke 2008
60.6,-69.7,36.1,0.677,0,53.35,0,0,0,0,0,0,0,0,Wessel and Kronke 2008
56.9,-72.9,38.4,0.628,0,61.1,0,0,0,0,0,0,0,0,Wessel and Kronke 2008
50.0,-78.4,44,0.591,0,74.5,0,0,0.0004211,0.002586,0.0004263,0.0006457,-0.000357,-0.0009187,Wessel and Kronke 2008
47.3,-82.1,48.8,0.584,0,83.5,0,0,0.000559,0.001727,0.0008344,-0.0001794,-0.0000756,-0.001051,Wessel and Kronke 2008
46.9,-82.7,54.1,0.569,0,95,0,0,0.000853,0.00008837,0.0002594,-0.00001472,-0.000374,-0.00005179,Wessel and Kronke 2008
51.3,-85.1,60.1,0.566,0,106.2,0,0,0.001536,0.0001061,0.0005273,-0.0002446,-0.00001655,0.0000161,Wessel and Kronke 2008
52.2,-85.8,62.4,0.556,0,112.3,0,0,0.0008702,0.0002031,0.0002306,-0.0003577,-0.0001829,0.00003921,Wessel and Kronke 2008
52.5,-80.3,66.5,0.562,0,118.4,0,0,0.0008588,0.0001682,0.0005264,-0.0002994,-0.0005807,0.0001681,Wessel and Kronke 2008
54.1,-88.2,69.6,0.557,0,125,0,0,0.002857,0.0004596,0.002506,-0.0005974,-0.001905,0.0009176,Wessel and Kronke 2008
56.2,-112.3,78.6,0.596,0,131.9,0,0,0.005165,0.001494,0.003205,-0.000305,-0.001488,0.00191,Wessel and Kronke 2008
54.4,-123.6,84.4,0.586,0,144,0,0,0.002587,0.001149,0.002007,-0.0002681,-0.0004146,0.001353,Wessel and Kronke 2008
