AN	SO	Motion of Somolia to Antarctica												
lat	lon	rot	rot_rate	start_age	stop_age	s1start_age	s1stop_age	vxx	vyy	vzz	vxy	vxz	vyz	source
8.2	-49.4	1.53		0	11.056	0	0	0	0	0	0	0	0	Royer & Chang 1991
10.7	-47.9	2.78		0	19.722	0	0	0	0	0	0	0	0	Royer & Chang 1991
12	-48.4	5.46		0	33.705	0	0	0	0	0	0	0	0	Royer & Chang 1991
12.19	-41.44	7.9		0	43.432	0	0	0	0	0	0	0	0	Cande & Patriat 2015
10	-40.66	8.83		0	47.349	0	0	0	0	0	0	0	0	Cande & Patriat 2015
8.02	-39.67	9.19		0	49.344	0	0	0	0	0	0	0	0	Cande & Patriat 2015
7.61	-39.3	9.63		0	51.833	0	0	0	0	0	0	0	0	Cande & Patriat 2015
7.6	-39.57	9.98		0	53.983	0	0	0	0	0	0	0	0	Cande & Patriat 2015
6.69	-42.74	10.58		0	58.959	0	0	0	0	0	0	0	0	Cande & Patriat 2015
3.81	-43.67	11.17		0	63.494	0	0	0	0	0	0	0	0	Cande & Patriat 2015
0.64	-43.29	11.98		0	68.369	0	0	0	0	0	0	0	0	Cande & Patriat 2015
-3.27	-41.14	12.83		0	71.449	0	0	0	0	0	0	0	0	Cande & Patriat 2015
-5.38	-39.54	13.91		0	74.309	0	0	0	0	0	0	0	0	Cande & Patriat 2015
-3.27	-39.79	15.98		0	79.9	0	0	0	0	0	0	0	0	Cande & Patriat 2015
-1.35	-39.52	17.52		0	83.64	0	0	0	0	0	0	0	0	Cande & Patriat 2015
