IN	SO	Motion of  India to Somolia												
lat	lon	rot	rot_rate	start_age	stop_age	s1start_age	s1stop_age	vxx	vyy	vzz	vxy	vxz	vyz	source
-23.34	-147.34	0.315		0	0.781	0	0	0	0	0	0	0	0	Demets et al. 2020
-23.29	-147.44	0.719		0	1.778	0	0	0	0	0	0	0	0	Demets et al. 2020
-23.23	-147.53	1.044		0	2.581	0	0	0	0	0	0	0	0	Demets et al. 2020
-23.13	-147.68	1.467		0	3.596	0	0	0	0	0	0	0	0	Demets et al. 2020
-23.12	-147.83	1.701		0	4.187	0	0	0	0	0	0	0	0	Demets et al. 2020
-23.13	-148.1	2.117		0	5.235	0	0	0	0	0	0	0	0	Demets et al. 2020
-23.17	-148.31	2.43		0	6.033	0	0	0	0	0	0	0	0	Demets et al. 2020
-23.21	-148.46	2.705		0	6.733	0	0	0	0	0	0	0	0	Demets et al. 2020
-23.29	-148.62	3.018		0	7.528	0	0	0	0	0	0	0	0	Demets et al. 2020
-23.36	-148.72	3.246		0	8.108	0	0	0	0	0	0	0	0	Demets et al. 2020
-23.51	-148.87	3.635		0	9.105	0	0	0	0	0	0	0	0	Demets et al. 2020
-23.63	-148.95	3.9		0	9.786	0	0	0	0	0	0	0	0	Demets et al. 2020
-23.85	-149.08	4.397		0	11.056	0	0	0	0	0	0	0	0	Demets et al. 2020
-24.1	-149.2	4.957		0	12.474	0	0	0	0	0	0	0	0	Demets et al. 2020
-24.32	-149.29	5.487		0	13.739	0	0	0	0	0	0	0	0	Demets et al. 2020
-24.48	-149.35	5.841		0	14.609	0	0	0	0	0	0	0	0	Demets et al. 2020
-24.71	-149.43	6.467		0	15.974	0	0	0	0	0	0	0	0	Demets et al. 2020
-24.92	-149.5	7.123		0	17.235	0	0	0	0	0	0	0	0	Demets et al. 2020
-25.06	-149.54	7.536		0	18.056	0	0	0	0	0	0	0	0	Demets et al. 2020
-25.18	-149.54	7.874		0	18.748	0	0	0	0	0	0	0	0	Demets et al. 2020
-25.35	-149.65	8.355		0	19.722	0	0	0	0	0	0	0	0	Demets et al. 2020
-14.8	-134	15.4		0	25.987	0	0	0	0	0	0	0	0	Copley et al. 2010
-18.7	-133.9	17.77		0	33.705	0	0	0	0	0	0	0	0	Copley et al. 2010
-16.6	-131.2	22.31		0	40.145	0	0	0	0	0	0	0	0	Copley et al. 2010
-17	-131.9	24.09		0	43.432	0	0	0	0	0	0	0	0	Copley et al. 2010
-12.6	-131.7	28.34		0	47.349	0	0	0	0	0	0	0	0	Copley et al. 2010
-14.6	-136	27.72		0	49.344	0	0	0	0	0	0	0	0	Copley et al. 2010
-14.9	-138.1	29.93		0	51.833	0	0	0	0	0	0	0	0	Copley et al. 2010
-15.9	-141.4	31.11		0	53.983	0	0	0	0	0	0	0	0	Copley et al. 2010
-17.6	-146.1	32.7		0	57.656	0	0	0	0	0	0	0	0	Copley et al. 2010
-17.6	-148.1	34.63		0	59.237	0	0	0	0	0	0	0	0	Copley et al. 2010
-14	-146.6	40.22		0	62.221	0	0	0	0	0	0	0	0	Copley et al. 2010
-15.3	-149	40.5		0	64.667	0	0	0	0	0	0	0	0	Copley et al. 2010
-14.1	-149.8	44.71		0	65.688	0	0	0	0	0	0	0	0	Copley et al. 2010
-15.7	-155.1	45.88		0	68.369	0	0	0	0	0	0	0	0	Copley et al. 2010
-17.7	-158.3	49.14		0	73.649	0	0	0	0	0	0	0	0	Copley et al. 2010
-16.8	-158.8	55		0	83.64	0	0	0	0	0	0	0	0	Copley et al. 2010
