PA	VA	Motion of Pacific relative to Vancouver												
lat	lon	rot	rot_rate	start_age	stop_age	s1start_age	s1stop_age	vxx	vyy	vzz	vxy	vxz	vyz	source
80.5	-38.8	-8.92		0	11.056	0	0	0	0	0	0	0	0	Wright et al. 2016
82.6	12.21	-14.34		0	19.722	0	0	0	0	0	0	0	0	Wright et al. 2016
81.35	-117.91	-30.67		0	27.859	0	0	0	0	0	0	0	0	Wright et al. 2016
79.74	-125.38	-40.87		0	33.157	0	0	0	0	0	0	0	0	Wright et al. 2016
77.74	-128.25	-55.02		0	40.145	0	0	0	0	0	0	0	0	Wright et al. 2015
76.45	-128.91	-67.38		0	47.349	0	0	0	0	0	0	0	0	Wright et al. 2015
76.2	-129.07	-70		0	49.344	0	0	0	0	0	0	0	0	Wright et al. 2015
75.96	-129.3	-72.9		0	52.62	0	0	0	0	0	0	0	0	Wright et al. 2015
84.14	138.7	-70.14		0	57.101	0	0	0	0	0	0	0	0	Wright et al. 2016
83.858	135.28	-71.157		0	58.959	0	0	0	0	0	0	0	0	Wright et al. 2015
83.289	129.813	-73.295		0	62.517	0	0	0	0	0	0	0	0	Wright et al. 2015
83.042	127.505	-73.889		0	63.494	0	0	0	0	0	0	0	0	Wright et al. 2015
82.43	124.34	-77.55		0	68.369	0	0	0	0	0	0	0	0	Wright et al. 2015
80.29	111.03	-84.97		0	79.9	0	0	0	0	0	0	0	0	Wright et al. 2016
79.29	106.41	-87.38		0	83.64	0	0	0	0	0	0	0	0	Wright et al. 2016
