PA	WAN	Motion of Pacific Relative to West Antarctica												
lat	lon	rot	rot_rate	start_age	stop_age	s1start_age	s1stop_age	vxx	vyy	vzz	vxy	vxz	vyz	source
70.36	-77.81	9.48		0	11.056	0	0	0	0	0	0	0	0	Croon et al. 2008
74	-70.16	16.73		0	19.722	0	0	0	0	0	0	0	0	Croon et al. 2008
74.5	-64.6	26.97		0	33.157	0	0	0	0	0	0	0	0	Croon et al. 2008
74.87	-54.46	32.62		0	40.145	0	0	0	0	0	0	0	0	Croon et al. 2008
74.43	-48.54	38.18		0	47.349	0	0	0	0	0	0	0	0	Wright et al. 2015
73	-51.4	42.26		0	57.101	0	0	0	0	0	0	0	0	Wright et al. 2015
72.317	-54.189	42.531		0	59.237	0	0	0	0	0	0	0	0	Wright et al. 2015
71.348	-54.157	45.498		0	62.517	0	0	0	0	0	0	0	0	Wright et al. 2015
68.9	-56.7	49.07		0	68.369	0	0	0	0	0	0	0	0	Wright et al. 2015
66.631	-57.357	52.776		0	74.309	0	0	0	0	0	0	0	0	Wright et al. 2016
63.6	-58.1	58.8		0	83.64	0	0	0	0	0	0	0	0	Wright et al. 2016
